Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted paper],Event[Accepted paper],Event[submission Rate],Event[city],Event[state],Event[country],Event[Field],Event[Type],Event[Homepage],EVENT[PUBLISHER],Event[Sponsor]
Annual Computer Security Applications Conference,1986,ACSAC 1986,ACSAC,2-Dec-1986,4-Dec-1986,,,,Vienna,Virginia,USA,Computer Security,Conference,https://www.acsac.org/archive/,ACM,
Annual Computer Security Applications Conference,1985,ACSAC 1985,ACSAC,,,,,,McLean,Virginia,USA,Computer Security,Conference,https://www.acsac.org/archive/,ACM,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
