Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted paper],Event[Accepted paper],Event[submission Rate],Event[city],Event[state],Event[country],Event[Field],Event[Type],Event[Homepage],EVENT[PUBLISHER],Event[sponsor]
IEEE Computer Security Foundations Symposium,2007,CSF 2007,CSF,6-Jul-2007,8-Jul-2007,101,25,24.80%,Venice,,Italy,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,
IEEE Computer Security Foundations Symposium,2006,CSFW 2006,CSF,5-Jul-2006,7-Jul-2006,102,25,24.50%,Venice,,Italy,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,
IEEE Computer Security Foundations Symposium,2005,CSFW 2005,CSF,20-Jun-2005,22-Jun-2005,96,20,20.80%,Aix-en-Provence,,France,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,
IEEE Computer Security Foundations Symposium,2004,CSFW 2004,CSF,28-Jun-2004,30-Jun-2004,,20,,Pacific Grove,CA,USA,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,
IEEE Computer Security Foundations Symposium,2003,CSFW 2003,CSF,30-Jun-2003,2-Jul-2003,,17,,Pacific Grove,CA,USA,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,
IEEE Computer Security Foundations Symposium,2002,CSFW 2002,CSF,24-Jun-2002,26-Jun-2002,84,23,27.40%,Cape Breton,,Canada,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,
IEEE Computer Security Foundations Symposium,2001,CSFW 2001,CSF,11-Jun-2001,13-Jun-2001,54,21,38.90%,Cape Breton,,Canada,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,
IEEE Computer Security Foundations Symposium,2000,CSFW 2000,CSF,3-Jul-2000,5-Jul-2000,48,22,45.80%,Cambridge,England,UK,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,
IEEE Computer Security Foundations Symposium,1999,CSFW 1999,CSF,28-Jun-1999,30-Jun-1999,47,19,40.40%,Mordano,,Italy,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,
IEEE Computer Security Foundations Symposium,1998,CSFW 1998,CSF,9-Jun-1998,11-Jun-1998,,,,Rackport,,USA,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,
IEEE Computer Security Foundations Symposium,1997,CSFW 1997,CSF,10-Jun-1997,12-Jun-1997,,,,Rackport,,USA,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,
IEEE Computer Security Foundations Symposium,1996,CSFW 1996,CSF,10-Jun-1996,12-Jun-1996,,,,Kenmare,,Ireland,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,
IEEE Computer Security Foundations Symposium,1995,CSFW 1995,CSF,13-Mar-1995,15-Mar-1995,,,,Kenmare,,Ireland,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,
IEEE Computer Security Foundations Symposium,1994,CSFW 1994,CSF,14-Jun-1994,16-Jun-1994,,,,Franconia,,USA,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,
IEEE Computer Security Foundations Symposium,1993,CSFW 1993,CSF,15-Jun-1993,17-Jun-1993,,,,Franconia,,USA,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,
IEEE Computer Security Foundations Symposium,1992,CSFW 1992,CSF,16-Jun-1992,18-Jun-1992,,,,Franconia,,USA,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,
IEEE Computer Security Foundations Symposium,1991,CSFW 1991,CSF,18-Jun-1991,20-Jun-1991,,,,Franconia,,USA,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,
IEEE Computer Security Foundations Symposium,1990,CSFW 1990,CSF,12-Jun-1990,14-Jun-1990,,,,Franconia,,USA,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,
IEEE Computer Security Foundations Symposium,1989,CSFW 1989,CSF,11-Jun-1989,14-Jun-1989,,,,Franconia,,USA,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,
IEEE Computer Security Foundations Symposium,1988,CSFW 1988,CSF,12-Jun-1988,15-Jun-1988,,,,Franconia,,USA,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
